"","Strain","isolate","plate","well","label_exp","model","param_1","param_2","param_3","param_4","th_gr","em_gr","loss","tot_plate.x","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","tot_plate.y","Strain_nice","ID"
"1","100","2","3","D3","Richards_isolate_2_plate_8","NL_Richards","0.918865477449056","0.16535228007223987","0.17141202329811378","17.929251005381147","0.49345038977979533","0.6199538482116398","0.007601469598433597","3D3",0,1,1,1,0,1,0,0,4,"3D3","P. baetica 1","3D3P. baetica 1"
"2","100","2","4","D8","Richards_isolate_2_plate_9","NL_Richards","0.9138290199152304","5.0077011092349695","0.48852470775816","22.676114329713833","0.09755190996826417","0.13754400958751495","0.0025875958020380495","4D8",1,1,1,1,1,1,0,0,6,"4D8","P. baetica 1","4D8P. baetica 1"
"3","100","2","5","D8","Richards_isolate_2_plate_5","NL_Richards","0.8785918119499455","0.6576102374813394","0.2878095421204114","23.162487020670756","0.39170154523986217","0.6410894316228801","0.00804767189461384","5D8",0,0,0,0,0,0,0,0,0,"5D8","P. baetica 1","5D8P. baetica 1"
"4","100","2","2","E8","Richards_isolate_2_plate_12","NL_Richards","0.8940363141280249","0.5592150649832319","0.22183665767859564","19.80950734260988","0.3392689092575909","0.6821750171998727","0.009551789774463595","2E8",1,1,0,1,0,0,1,0,4,"2E8","P. baetica 1","2E8P. baetica 1"
"5","100","2","1","D2","Richards_isolate_2_plate_16","NL_Richards","0.9112836502083287","1.0740553685223042","0.27926559295323367","18.85407312492527","0.2559060998885794","0.3078526370078544","0.002372335780188833","1D2",0,0,1,0,0,0,0,0,1,"1D2","P. baetica 1","1D2P. baetica 1"
"6","100","2","1","C3","Richards_isolate_2_plate_1","NL_Richards","0.9076523042618043","1.8443143020587298","0.4720810056890009","22.09533244814235","0.2559308344415534","0.33376881240301204","0.006896782907383648","1C3",0,0,0,0,0,0,0,1,1,"1C3","P. baetica 1","1C3P. baetica 1"
"7","100","2","2","G5","Richards_isolate_2_plate_2","NL_Richards","0.8753479650318712","2.2093976840689735","0.4734897622038409","24.300065744210098","0.2142988176597107","0.30666798751851293","0.007068269596551005","2G5",0,0,0,1,1,0,1,0,3,"2G5","P. baetica 1","2G5P. baetica 1"
"8","100","2","2","B5","Richards_isolate_2_plate_7","NL_Richards","0.9524626495739008","5.000832594225725","0.43944274755572893","22.374884509193336","0.08786711449456477","0.13189123011898413","0.0022893407536953773","2B5",0,0,1,0,1,0,0,1,3,"2B5","P. baetica 1","2B5P. baetica 1"
"9","100","2","3","G4","Richards_isolate_2_plate_3","NL_Richards","0.9602285686925996","2.3354133529689904","0.5111928870669452","24.22565584381172","0.2188834831889505","0.29584588139617546","0.006330060534155251","3G4",0,1,0,1,1,1,0,0,4,"3G4","P. baetica 1","3G4P. baetica 1"
"10","100","2","2","G8","Richards_isolate_2_plate_17","NL_Richards","0.9130297992031443","1.2341763255327516","0.2709744047724744","19.493557093574534","0.2166952969685648","0.2674618979556308","0.002208909383361602","2G8",1,1,0,0,1,1,0,0,4,"2G8","P. baetica 1","2G8P. baetica 1"
"11","100","2","1","C11","Richards_isolate_2_plate_6","NL_Richards","0.9531625166365606","4.919897680127234","0.5506670317538893","22.077595136377653","0.11192500822748397","0.14288775512046029","0.0007749499575641146","1C11",1,0,0,0,0,1,0,1,3,"1C11","P. baetica 1","1C11P. baetica 1"
"12","100","2","3","B10","Richards_isolate_2_plate_18","NL_Richards","0.9262509916376713","3.637635326505444","0.6069683782775084","20.748780018419943","0.16685530714542163","0.19968578984439178","0.0013735369289448584","3B10",1,1,1,0,1,0,0,1,5,"3B10","P. baetica 1","3B10P. baetica 1"
"13","100","2","4","D10","Richards_isolate_2_plate_9","NL_Richards","0.884340771779915","5.002668298012086","0.509712855837243","22.444674082799207","0.101885948777031","0.14066489697859744","0.0023350992287312954","4D10",1,1,0,1,1,0,1,1,6,"4D10","P. baetica 1","4D10P. baetica 1"
"14","100","2","2","D3","Richards_isolate_2_plate_12","NL_Richards","0.9102252157511121","4.946115567190094","0.48061264286975325","22.37840364716867","0.09716600239889889","0.14321303588248938","0.0025579710895214294","2D3",0,1,0,0,1,0,0,1,3,"2D3","P. baetica 1","2D3P. baetica 1"
"15","100","2","1","D11","Richards_isolate_2_plate_16","NL_Richards","0.8570148974742133","2.935776381244764","0.5528423736273863","20.486871214294645","0.18830224742712798","0.20209446144140392","0.0007019837080041031","1D11",1,0,0,0,0,0,1,1,3,"1D11","P. baetica 1","1D11P. baetica 1"
"16","100","2","5","E9","Richards_isolate_2_plate_5","NL_Richards","0.8726730905928273","0.4413359817746259","0.2574915409929276","22.882984407395256","0.44542144413298346","0.4624918317199311","0.002344563667146974","5E9",0,0,0,0,0,0,0,0,0,"5E9","P. baetica 1","5E9P. baetica 1"
"17","100","2","3","B6","Richards_isolate_2_plate_8","NL_Richards","0.9657607628632711","5.007533833903399","0.3599139703483448","21.957932068217172","0.07184855701599775","0.11749696037054826","0.003173136725598057","3B6",0,1,0,0,1,1,0,1,4,"3B6","P. baetica 1","3B6P. baetica 1"
"18","100","2","2","C5","Richards_isolate_2_plate_7","NL_Richards","0.8696370211179737","0.6807217000914584","0.23038412963272184","18.499819032859364","0.32080678786629857","0.36150552701878796","0.0021282667681340683","2C5",0,0,1,0,0,1,1,0,3,"2C5","P. baetica 1","2C5P. baetica 1"
"19","100","2","3","G3","Richards_isolate_2_plate_18","NL_Richards","0.9809292919208487","2.677975634066007","0.508558729046434","21.216858993100807","0.18988925198513698","0.20828895104552067","0.0023965002168422904","3G3",0,1,1,0,1,1,0,0,4,"3G3","P. baetica 1","3G3P. baetica 1"
"20","100","2","4","D10","Richards_isolate_2_plate_14","NL_Richards","0.8832649114393206","5.009667494768396","0.583580548977225","23.702367435601758","0.11649053109725598","0.16175820507838504","0.0027351135689050064","4D10",1,1,0,1,1,0,1,1,6,"4D10","P. baetica 1","4D10P. baetica 1"
