time,5x10^8pfu,5x10^8pfu,5x10^8pfu,5x10^7pfu,5x10^7pfu,5x10^7pfu,5x10^6pfu,5x10^6pfu,5x10^6pfu,5x10^5pfu,5x10^5pfu,5x10^5pfu,5x10^4pfu,5x10^4pfu,5x10^4pfu,5x10^3pfu,5x10^3pfu,5x10^3pfu,5x10^2pfu,5x10^2pfu,5x10^2pfu,5x10^1pfu,5x10^1pfu,5x10^1pfu,0pfu,0pfu,0pfu
5,0.2512,0.2568,0.2551,0.2643,0.2636,0.2727,0.2697,0.2668,0.2742,0.2545,0.2736,0.2677,0.2817,0.2893,0.2869,0.2575,0.2879,0.278,0.279,0.2867,0.2829,0.2816,0.2771,0.283,0.2836,0.2791,0.285
10,0.2561,0.2576,0.2547,0.2655,0.2665,0.267,0.2686,0.2671,0.2739,0.2564,0.2728,0.2741,0.2808,0.294,0.2814,0.256,0.2795,0.2777,0.2791,0.2837,0.2797,0.2887,0.2871,0.2836,0.2907,0.2891,0.2856
15,0.2554,0.2555,0.2539,0.2678,0.2689,0.2682,0.276,0.2749,0.2818,0.2631,0.2802,0.2831,0.2886,0.3,0.2909,0.2633,0.2844,0.2874,0.2885,0.2942,0.2908,0.3002,0.299,0.3003,0.3022,0.301,0.3023
20,0.2315,0.2352,0.2323,0.2737,0.2737,0.2751,0.2876,0.288,0.2942,0.2737,0.2869,0.2926,0.3016,0.3126,0.2996,0.2759,0.2934,0.2975,0.305,0.309,0.3051,0.3224,0.318,0.3177,0.3244,0.32,0.3197
25,0.165,0.1692,0.1649,0.2623,0.2626,0.2647,0.3044,0.3043,0.3079,0.29,0.3047,0.3084,0.3194,0.3307,0.3168,0.2901,0.3125,0.3178,0.3253,0.3285,0.3259,0.345,0.3394,0.3422,0.3471,0.3414,0.3442
30,0.1393,0.1416,0.1407,0.2447,0.2457,0.2454,0.3212,0.3193,0.3275,0.3081,0.3267,0.3312,0.3434,0.3519,0.3407,0.3119,0.3375,0.3406,0.3499,0.353,0.3517,0.377,0.3725,0.3734,0.379,0.3745,0.3754
35,0.128,0.1296,0.1294,0.237,0.2357,0.2372,0.3456,0.3443,0.3494,0.3354,0.3537,0.3559,0.371,0.3781,0.3668,0.339,0.3682,0.3699,0.3842,0.3848,0.3838,0.4156,0.4099,0.4091,0.4176,0.4119,0.4111
40,0.1233,0.1253,0.1249,0.2345,0.2325,0.2352,0.3744,0.3743,0.378,0.3667,0.3843,0.3901,0.4059,0.4075,0.397,0.3695,0.4026,0.4052,0.4223,0.4237,0.4179,0.4519,0.4451,0.4447,0.4539,0.4471,0.4467
45,0.12,0.1223,0.1231,0.2375,0.2347,0.2372,0.4023,0.3999,0.4068,0.3978,0.4154,0.4244,0.4388,0.4399,0.4337,0.4029,0.4364,0.4417,0.458,0.4627,0.4567,0.487,0.4809,0.4822,0.489,0.4829,0.4842
50,0.1187,0.1203,0.1211,0.2401,0.2376,0.2403,0.4329,0.4317,0.4353,0.434,0.4491,0.4599,0.481,0.4777,0.4688,0.4411,0.4728,0.4774,0.4968,0.4973,0.4956,0.5163,0.5097,0.5111,0.5183,0.5117,0.5131
