"","conc","segment","avg_gr","sd_gr","avg_delta_OD","sd_delta_OD"
"X","4","1","0.467707237983538","0.00241414449813957","0.364564000963117","0.00240756357414923"
"X.1","1","1","0.498807582996927","0.00836040313955496","0.293752528035358","0.00288215334537159"
"X.2","1","2","0.0447067503261292","0.00618156150662735","0.0509467314062134","0.0173231152507007"
"X.3","0.6667","1","0.500940732695407","0.00272370924605233","0.271984120586118","0.00474961227363945"
"X.4","0.6667","2","0.0778132414424974","0.00224184621472472","0.0765765433659313","0.0056452971677709"
"X.5","0.3333","1","0.505281608814991","0.00734118409418538","0.250844054766164","0.00474299129195618"
"X.6","0.3333","2","0.127045160295167","0.00937443382316011","0.101722095505652","0.00429638213562598"
"X.7","3.6667","1","0.472865433179856","0.00285276398391665","0.369025283000337","0.00916146858161107"
"X.8","3.3333","1","0.478299039936044","0.00312080105800837","0.362967014755217","0.0067823371049413"
"X.9","3","1","0.484693737646643","0.00511530072278297","0.367285976102794","0.0101057483153036"
"X.10","2.6667","1","0.491866354123742","0.00264024456758195","0.364961464409646","0.0119532726733869"
"X.11","2.3333","1","0.496108082782563","0.00280958385494084","0.366156631715886","0.00839397075353347"
"X.12","2","1","0.504887624625769","0.0131087057960494","0.3377232794161","0.00480939674390944"
"X.13","1.6667","1","0.514255442739685","0.0177654548495276","0.316016992873842","0.0100801266230108"
"X.14","1.3333","1","0.513968879181099","0.0248235429779613","0.304623346266701","0.0110889045752245"
"X.15","1.3333","2","0.0307750876422618","0.0108716113041528","0.0487311147093923","0.00776714041770237"
"X.16","0","1","0.505100953216017","0.00749263257154851","0.233216973746328","0.00312831243901313"
"X.17","0","2","0.177472954897285","0.0127756827052624","0.133690086515815","0.00279653594536364"
"X.18","-3","1","0.317522046024357","0.0294405646185492","0.0629689434577961","0.00263803367948024"
"X.19","-3","2","0.364311670900705","0.0157163346353117","0.154722094658951","0.00751500249660506"
"X.20","-3.3333","1","0.30163569084604","0.0233409529325394","0.0535587054210379","0.00183267615490288"
"X.21","-3.3333","2","0.40968770713309","0.0212540974190253","0.159655504183623","0.01381903272858"
"X.22","-3.6667","1","0.254787677968635","0.00265231337954356","0.0470253103328483","0.000382003773028924"
"X.23","-3.6667","2","0.494562144389272","0.0771555284246672","0.23868394028249","0.0963416076018655"
"X.24","-0.3333","1","0.531294530398688","0.0304213427878819","0.201111956167604","0.00946427874867638"
"X.25","-0.3333","2","0.189380830868911","0.0613624954828169","0.128821694469853","0.0415886109974749"
"X.26","-0.6667","1","0.558535934555048","0.0140390157778189","0.175217939907738","0.00320959971342714"
"X.27","-0.6667","2","0.240599591848118","0.0134373533697388","0.182431979103893","0.00588913929016824"
"X.28","-1","1","0.505544613057073","0.02994034406135","0.157063137265032","0.004175827037757"
"X.29","-1","2","0.229983380747289","0.0682506346333183","0.172617616292761","0.0554811039641496"
"X.30","-1.3333","1","0.452320374302936","0.00838052537170988","0.139340697142088","0.00243654270024073"
"X.31","-1.3333","2","0.282047419090769","0.00407152453299808","0.217592199173539","0.00505151891242401"
"X.32","-1.6667","1","0.415422097580915","0.00672291938379894","0.117303657248746","0.00339277501794643"
"X.33","-1.6667","2","0.291678291916073","0.0768042710901407","0.205809215105716","0.0690560732050043"
"X.34","-2","1","0.394202532959546","0.00883862700060072","0.1011795105578","0.00255072635756161"
"X.35","-2","2","0.315445425323278","0.0998512149976093","0.177085333647021","0.0656995797441747"
"X.36","-2.3333","1","0.361721660707611","0.00999679053128884","0.0884882824759903","0.00229439516699524"
"X.37","-2.3333","2","0.277663538298219","0.0467288415584274","0.162844203626282","0.0772663459071181"
"X.38","-2.6667","1","0.352546600231862","0.0224601448301395","0.071921531007425","0.00382071055793551"
"X.39","-2.6667","2","0.37298904374016","0.0874316426471054","0.212584727471946","0.0744837886819806"
"X.40","-4","1","0.270330488617307","0.00353700973261928","0.0501113412161815","0.000732589456668303"
"X.41","-4","2","0.535205295973231","0.00182635451696328","0.341439655431885","0.00319859913616521"
