Plate Size * :;C_48;;Plate Layout;;;;;;;;;;
;;;Row *;Column *;Control;Inventory Collection *;Inventory Item SysId;Inventory Item Name;Stock ID;Stock Name;Concentration;Well Annotation;Sample Color
Plate Properties;;;A;1;no;Media;ME-23.0001;M9+glucose;;;;b;
Name;Value;;A;2;no;Media;ME-23.0001;M9+glucose;;;;b;
;;;A;3;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;A;3;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;A;3;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;A;4;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;A;4;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;A;4;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;A;5;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;A;5;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;A;5;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;A;6;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;A;6;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;A;6;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;A;7;no;Media;ME-23.0001;M9+glucose;;;;b;
;;;A;8;no;Media;ME-23.0001;M9+glucose;;;;X;
;;;B;1;no;Antibiotics;AN-24.0001;Rifampicin;;;3;12&B1;
;;;B;1;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;B;1;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;B;1;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;B;2;no;Antibiotics;AN-24.0001;Rifampicin;;;3;12&B1;
;;;B;2;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;B;2;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;B;2;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;B;3;no;Antibiotics;AN-24.0001;Rifampicin;;;3;12&B2;
;;;B;3;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;B;3;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;B;3;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;B;4;no;Antibiotics;AN-24.0001;Rifampicin;;;3;12&B2;
;;;B;4;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;B;4;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;B;4;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;B;5;no;Antibiotics;AN-23.0002;Chloramphenicol;;;2;12&B1;
;;;B;5;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;B;5;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;B;5;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;B;6;no;Antibiotics;AN-23.0002;Chloramphenicol;;;2;12&B1;
;;;B;6;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;B;6;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;B;6;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;B;7;no;Antibiotics;AN-23.0002;Chloramphenicol;;;2;12&B2;
;;;B;7;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;B;7;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;B;7;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;B;8;no;Antibiotics;AN-23.0002;Chloramphenicol;;;2;12&B2;
;;;B;8;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;B;8;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;B;8;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;C;1;no;Antibiotics;AN-24.0001;Rifampicin;;;6;12&B1;
;;;C;1;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;C;1;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;C;1;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;C;2;no;Antibiotics;AN-24.0001;Rifampicin;;;6;12&B1;
;;;C;2;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;C;2;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;C;2;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;C;3;no;Antibiotics;AN-24.0001;Rifampicin;;;6;12&B2;
;;;C;3;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;C;3;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;C;3;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;C;4;no;Antibiotics;AN-24.0001;Rifampicin;;;6;12&B2;
;;;C;4;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;C;4;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;C;4;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;C;5;no;Antibiotics;AN-23.0002;Chloramphenicol;;;4;12&B1;
;;;C;5;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;C;5;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;C;5;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;C;6;no;Antibiotics;AN-23.0002;Chloramphenicol;;;4;12&B1;
;;;C;6;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;C;6;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;C;6;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;C;7;no;Antibiotics;AN-23.0002;Chloramphenicol;;;4;12&B2;
;;;C;7;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;C;7;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;C;7;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;C;8;no;Antibiotics;AN-23.0002;Chloramphenicol;;;4;12&B2;
;;;C;8;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B2;
;;;C;8;no;Media;ME-23.0001;M9+glucose;;;;12&B2;
;;;C;8;no;Compound;CP-24.0001;Glucose;;;0,5;12&B2;
;;;D;1;no;Antibiotics;AN-24.0001;Rifampicin;;;9;12&B1;
;;;D;1;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
;;;D;1;no;Media;ME-23.0001;M9+glucose;;;;12&B1;
;;;D;1;no;Compound;CP-24.0001;Glucose;;;0,5;12&B1;
;;;D;2;no;Antibiotics;AN-24.0001;Rifampicin;;;9;12&B1;
;;;D;2;no;Bacterium;BC-22.0006;BW25113 (DSM);;;;12&B1;
