Complexity,Loss,Equation
1,0.11410199368023895,"0.29998026900717745"
3,0.000473918963474438,"(x1 * 0.013228506491269783)"
5,0.0001636337269562886,"((x1 - -1.780085909727866) * 0.012804450276652848)"
7,0.0001636337269562416,"(((x1 + 0.02250485914235013) * 1.0128044502772222) - x1)"
9,0.0001636337269562238,"(((x1 * 2.012804450276952) - -0.022793021516584362) - (x1 + x1))"
11,0.00015622175403334535,"(((x1 + 1.7963217124778355) + (-0.13983777482529222 / (1.461360095771183 - x1))) * 0.012804450276652848)"
13,0.00013204043615252747,"(0.012804450275206826 * (((x1 + 0.013228506491269783) + (x1 / (x1 + 1.71229649135965))) + 1.0020104443673983))"
15,0.00012155600919003445,"((((x1 + 0.14722058915960107) + ((x1 + -0.8164587166653983) / (x1 + 1.0000388861987302))) + 1.0148148946426052) * 0.012804450275206826)"
17,0.00011974042922695891,"((((x1 + -0.1678582801903515) + (((x1 - 1.1554768612168809) / (x1 + 1.0000388861987302)) + 1.0020104443673983)) + 0.34911735085374757) * 0.012804450275206826)"
19,0.00011959423459613305,"((((x1 + -0.1678648075607935) + (((x1 - 1.2044045259474478) / ((x1 / 1.041802491947694) + 1.041802491947694)) + 1.0000388861987302)) + 0.34911735085374757) * 0.012804450275206826)"
