"V1","V2","V3","V4","V5"
"A1","S7","200","M9G","1"
"A2","S7","100","M9G","1"
"A3","S7","50","M9G","1"
"A4","S7","25","M9G","1"
"A5","S7","12.5","M9G","1"
"A6","S7","6.25","M9G","1"
"A7","S7","3.125","M9G","1"
"A8","b","0","M9G","NA"
"B1","S7","200","M9G","1"
"B2","S7","100","M9G","1"
"B3","S7","50","M9G","1"
"B4","S7","25","M9G","1"
"B5","S7","12.5","M9G","1"
"B6","S7","6.25","M9G","1"
"B7","S7","3.125","M9G","1"
"B8","b","0","M9G","NA"
"C1","S7","200","M9G","1"
"C2","S7","100","M9G","1"
"C3","S7","50","M9G","1"
"C4","S7","25","M9G","1"
"C5","S7","12.5","M9G","1"
"C6","S7","6.25","M9G","1"
"C7","S7","3.125","M9G","1"
"C8","b","0","M9G","NA"
"D1","S8","200","M9G","2"
"D2","S8","100","M9G","2"
"D3","S8","50","M9G","2"
"D4","S8","25","M9G","2"
"D5","S8","12.5","M9G","2"
"D6","S8","6.25","M9G","2"
"D7","S8","3.125","M9G","2"
"D8","b","0","M9G","NA"
"E1","S8","200","M9G","2"
"E2","S8","100","M9G","2"
"E3","S8","50","M9G","2"
"E4","S8","25","M9G","2"
"E5","S8","12.5","M9G","2"
"E6","S8","6.25","M9G","2"
"E7","S8","3.125","M9G","2"
"E8","b","0","M9G","NA"
"F1","S8","200","M9G","2"
"F2","S8","100","M9G","2"
"F3","S8","50","M9G","2"
"F4","S8","25","M9G","2"
"F5","S8","12.5","M9G","2"
"F6","S8","6.25","M9G","2"
"F7","S8","3.125","M9G","2"
"F8","b","0","M9G","NA"
