"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"1","1_D3_P. baetica 1_",0,1,1,1,0,1,0,0,"P. baetica 1"
"2","2_D8_P. baetica 1_",1,1,1,1,1,1,0,0,"P. baetica 1"
"3","3_D8_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"4","4_E8_P. baetica 1_",1,1,0,1,0,0,1,0,"P. baetica 1"
"5","5_D2_P. baetica 1_",0,0,1,0,0,0,0,0,"P. baetica 1"
"6","6_C3_P. baetica 1_",0,0,0,0,0,0,0,1,"P. baetica 1"
"7","7_G5_P. baetica 1_",0,0,0,1,1,0,1,0,"P. baetica 1"
"8","8_B5_P. baetica 1_",0,0,1,0,1,0,0,1,"P. baetica 1"
"9","9_G4_P. baetica 1_",0,1,0,1,1,1,0,0,"P. baetica 1"
"10","10_G8_P. baetica 1_",1,1,0,0,1,1,0,0,"P. baetica 1"
"11","11_C11_P. baetica 1_",1,0,0,0,0,1,0,1,"P. baetica 1"
"12","12_B10_P. baetica 1_",1,1,1,0,1,0,0,1,"P. baetica 1"
"13","13_D10_P. baetica 1_",1,1,0,1,1,0,1,1,"P. baetica 1"
"14","14_D3_P. baetica 1_",0,1,0,0,1,0,0,1,"P. baetica 1"
"15","15_D11_P. baetica 1_",1,0,0,0,0,0,1,1,"P. baetica 1"
"16","16_E9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"17","17_B6_P. baetica 1_",0,1,0,0,1,1,0,1,"P. baetica 1"
"18","18_C5_P. baetica 1_",0,0,1,0,0,1,1,0,"P. baetica 1"
"19","19_G3_P. baetica 1_",0,1,1,0,1,1,0,0,"P. baetica 1"
"20","20_D10_P. baetica 1_",1,1,0,1,1,0,1,1,"P. baetica 1"
"21","21_E6_P. baetica 1_",0,1,0,1,1,1,1,0,"P. baetica 1"
"22","22_C3_P. baetica 1_",0,1,1,1,1,0,0,0,"P. baetica 1"
"23","23_F10_P. baetica 1_",1,0,0,0,1,0,1,0,"P. baetica 1"
"24","24_C8_P. baetica 1_",0,0,0,1,1,1,1,1,"P. baetica 1"
"25","25_F9_P. baetica 1_",1,0,1,0,0,0,0,1,"P. baetica 1"
"26","26_G4_P. baetica 1_",0,1,1,1,1,1,0,0,"P. baetica 1"
"27","27_F3_P. baetica 1_",0,1,1,1,0,0,0,1,"P. baetica 1"
"28","28_D8_P. baetica 1_",0,0,0,1,1,1,0,1,"P. baetica 1"
"29","29_B6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"30","30_E2_P. baetica 1_",0,0,0,1,0,0,0,0,"P. baetica 1"
"31","31_D7_P. baetica 1_",0,0,0,0,1,0,0,1,"P. baetica 1"
"32","32_C11_P. baetica 1_",1,0,1,0,0,1,0,1,"P. baetica 1"
"33","33_B2_P. baetica 1_",1,0,0,1,0,1,1,0,"P. baetica 1"
"34","34_C6_P. baetica 1_",0,1,1,0,1,0,1,1,"P. baetica 1"
"35","35_C5_P. baetica 1_",0,0,1,0,0,1,1,0,"P. baetica 1"
"36","36_C2_P. baetica 1_",1,0,0,1,0,1,0,1,"P. baetica 1"
"37","37_B6_P. baetica 1_",0,1,0,0,1,1,0,1,"P. baetica 1"
"38","38_E2_P. baetica 1_",0,0,0,1,0,0,0,0,"P. baetica 1"
"39","39_F10_P. baetica 1_",1,1,0,0,1,1,1,1,"P. baetica 1"
"40","40_D10_P. baetica 1_",1,1,1,0,0,1,0,1,"P. baetica 1"
"41","41_B5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"42","42_F3_P. baetica 1_",1,1,1,0,1,1,1,1,"P. baetica 1"
"43","43_F8_P. baetica 1_",1,1,0,1,0,0,0,1,"P. baetica 1"
"44","44_D2_P. baetica 1_",0,0,1,0,0,0,0,0,"P. baetica 1"
"45","45_F4_P. baetica 1_",0,1,0,1,0,0,0,0,"P. baetica 1"
"46","46_D7_P. baetica 1_",0,0,1,1,1,1,1,0,"P. baetica 1"
"47","47_G7_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"48","48_B4_P. baetica 1_",1,0,0,1,1,1,1,0,"P. baetica 1"
"49","49_B3_P. baetica 1_",0,0,0,0,0,0,1,0,"P. baetica 1"
"50","50_C8_P. baetica 1_",1,1,0,1,0,0,0,0,"P. baetica 1"
"51","51_F10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"52","52_C11_P. baetica 1_",1,1,0,1,0,1,1,0,"P. baetica 1"
"53","53_F2_P. baetica 1_",1,0,1,1,1,0,0,1,"P. baetica 1"
"54","54_F5_P. baetica 1_",0,0,0,1,1,1,0,0,"P. baetica 1"
"55","55_E2_P. baetica 1_",1,0,1,1,1,0,1,0,"P. baetica 1"
"56","56_B6_P. baetica 1_",0,0,0,1,1,0,0,1,"P. baetica 1"
"57","57_E8_P. baetica 1_",1,1,0,0,0,1,0,0,"P. baetica 1"
"58","58_B2_P. baetica 1_",0,1,1,1,1,1,0,1,"P. baetica 1"
"59","59_C6_P. baetica 1_",0,1,1,0,1,0,1,1,"P. baetica 1"
"60","60_B3_P. baetica 1_",1,0,0,0,0,1,1,1,"P. baetica 1"
"61","61_D6_P. baetica 1_",0,0,0,1,0,1,0,1,"P. baetica 1"
"62","62_F6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"63","63_G6_P. baetica 1_",0,0,0,1,0,0,0,1,"P. baetica 1"
"64","64_E6_P. baetica 1_",0,0,1,1,1,1,0,0,"P. baetica 1"
"65","65_G2_P. baetica 1_",1,0,1,1,0,1,1,0,"P. baetica 1"
"66","66_G9_P. baetica 1_",1,0,1,1,1,0,0,0,"P. baetica 1"
"67","67_G9_P. baetica 1_",1,0,0,1,1,0,0,0,"P. baetica 1"
"68","68_C6_P. baetica 1_",0,0,1,0,0,0,0,1,"P. baetica 1"
"69","69_E5_P. baetica 1_",0,1,0,1,0,1,0,1,"P. baetica 1"
"70","70_B7_P. baetica 1_",0,0,1,1,0,1,1,0,"P. baetica 1"
"71","71_E5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"72","72_E11_P. baetica 1_",0,1,1,1,0,0,0,0,"P. baetica 1"
"73","73_C7_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"74","74_D9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"75","75_B5_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"76","76_B2_P. baetica 1_",1,0,0,0,0,0,0,0,"P. baetica 1"
"77","77_D11_P. baetica 1_",1,0,1,1,0,1,1,1,"P. baetica 1"
"78","78_E7_P. baetica 1_",0,0,1,0,1,1,1,0,"P. baetica 1"
"79","79_C8_P. baetica 1_",1,1,0,1,1,0,0,0,"P. baetica 1"
"80","80_C4_P. baetica 1_",1,0,0,1,1,1,0,1,"P. baetica 1"
"81","81_G9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"82","82_C6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"83","83_G10_P. baetica 1_",1,0,1,1,1,1,1,0,"P. baetica 1"
"84","84_B11_P. baetica 1_",1,0,0,0,0,1,1,0,"P. baetica 1"
"85","85_G10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"86","86_G8_P. baetica 1_",0,0,0,0,1,1,1,1,"P. baetica 1"
"87","87_G7_P. baetica 1_",1,1,1,0,0,0,1,0,"P. baetica 1"
"88","88_B10_P. baetica 1_",1,0,0,1,0,1,0,0,"P. baetica 1"
"89","89_G8_P. baetica 1_",1,1,1,1,0,1,1,0,"P. baetica 1"
"90","90_D8_P. baetica 1_",0,0,0,1,1,1,0,1,"P. baetica 1"
"91","91_E3_P. baetica 1_",0,1,0,0,0,1,1,0,"P. baetica 1"
"92","92_D9_P. baetica 1_",1,1,1,0,1,1,1,0,"P. baetica 1"
"93","93_D6_P. baetica 1_",0,1,1,0,0,1,1,1,"P. baetica 1"
